Time(msec),Vm(mVolt),dVm/dt(mVolt/msec),timestep(dt),Cai(x1.000.000)(milliM->nanoM),INa(x1.000)(microA->nanoA),INaL(x1.000)(microA->nanoA),ICaL(x1.000)(microA->nanoA),Ito(x1.000)(microA->nanoA),IKr(x1.000)(microA->nanoA),IKs(x1.000)(microA->nanoA),IK1(x1.000)(microA->nanoA),Inet(microA),Inet_APD(microA)
0.50,-88.0518,-0.0000,0.5000,73.7862,-1.6188,-0.0759,-0.0002,   0,0.0008,-0.0036,1.4929,0.0014,0.0000
1.50,-88.0518,-0.0000,0.5000,73.7861,-1.6188,-0.0759,-0.0002,   0,0.0008,-0.0036,1.4929,0.0014,0.0000
2.50,-88.0518,-0.0000,0.5000,73.7859,-1.6188,-0.0759,-0.0002,   0,0.0008,-0.0036,1.4930,0.0014,0.0000
3.50,-88.0518,-0.0000,0.5000,73.7858,-1.6188,-0.0759,-0.0002,   0,0.0008,-0.0036,1.4930,0.0014,0.0000
4.50,-88.0518,-0.0000,0.5000,73.7856,-1.6188,-0.0759,-0.0002,   0,0.0008,-0.0036,1.4930,0.0014,0.0000
5.50,-88.0518,-0.0000,0.5000,73.7855,-1.6188,-0.0759,-0.0002,   0,0.0008,-0.0036,1.4931,0.0014,0.0000
6.50,-88.0518,-0.0000,0.5000,73.7854,-1.6188,-0.0759,-0.0002,   0,0.0008,-0.0036,1.4931,0.0014,0.0000
7.50,-88.0518,-0.0000,0.5000,73.7853,-1.6188,-0.0759,-0.0002,   0,0.0008,-0.0036,1.4932,0.0014,0.0000
8.50,-88.0518,-0.0000,0.5000,73.7851,-1.6188,-0.0759,-0.0002,   0,0.0008,-0.0036,1.4933,0.0014,0.0000
9.50,-88.0518,-0.0000,0.5000,73.7850,-1.6188,-0.0759,-0.0002,   0,0.0008,-0.0036,1.4933,0.0014,0.0000
10.50,-48.4484,79.2067,0.5000,73.7844,-1032.6484,-12.0676,-0.0716,   1,5.7342,0.0115,304.5280,0.2993,0.2993
11.50,1.1300,88.4409,0.5000,73.7822,-172830.7009,-170.7033,-375.2165,  19,10.6486,0.1097,3.7203,-0.5126,-0.5126
12.50,27.2618,7.0992,0.5000,73.8441,-4106.2087,-130.6087,-2333.4792, 288,15.2079,0.8400,0.3072,-2.1595,-2.1595
